Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"MCU_SER","OffPage","MCU_Control_Cricuit","1","SCHEMATIC1","U2-1.36","765","595","3B","[2]"
"MCU_SER","OffPage","NixieTube_Control_Cricuit","2","SCHEMATIC1","R12.1,U5.1","1285","170","2D","[1]"
"MCU_RCLK","OffPage","MCU_Control_Cricuit","1","SCHEMATIC1","U2-1.35","765","585","3B","[2]"
"MCU_RCLK","OffPage","NixieTube_Control_Cricuit","2","SCHEMATIC1","R8.1,U4.3","925","255","3D","[1]"
"MCU_HM_POINTS","OffPage","MCU_Control_Cricuit","1","SCHEMATIC1","U2-1.21","555","715","4B","[2]"
"MCU_HM_POINTS","OffPage","NixieTube_Control_Cricuit","2","SCHEMATIC1","R27.2","940","970","3A","[1]"
"MCU_2ND_POINT","OffPage","MCU_Control_Cricuit","1","SCHEMATIC1","U2-1.22","555","725","4B","[2]"
"MCU_2ND_POINT","OffPage","NixieTube_Control_Cricuit","2","SCHEMATIC1","R23.2","1035","645","2B","[1]"
"MCU_1ST_POINT","OffPage","MCU_Control_Cricuit","1","SCHEMATIC1","U2-1.23","555","735","4B","[2]"
"MCU_1ST_POINT","OffPage","NixieTube_Control_Cricuit","2","SCHEMATIC1","R19.2","1040","455","2C","[1]"
"MCU_MS_POINTS","OffPage","MCU_Control_Cricuit","1","SCHEMATIC1","U2-1.20","555","705","4B","[2]"
"MCU_MS_POINTS","OffPage","NixieTube_Control_Cricuit","2","SCHEMATIC1","R28.2","1090","965","2A","[1]"
"MCU_SHCLK","OffPage","MCU_Control_Cricuit","1","SCHEMATIC1","U2-1.34","765","575","3B","[2]"
"MCU_SHCLK","OffPage","NixieTube_Control_Cricuit","2","SCHEMATIC1","R9.1,U4.1","925","165","3D","[1]"
